question,answer,type
什么是定义？,2. 合约 ................................................................................................................. 6...（详见条款1）,定义解释
什么是管辖法律？,4. 保单年度及周年日 ....................................................................................... 6...（详见条款3）,定义解释
什么是货币？,6. 缴付保费 ........................................................................................................ 6...（详见条款5）,定义解释
什么是受益人？,8. 保单所有权 .................................................................................................... 8...（详见条款7）,定义解释
什么是保单转让？,10. 身故赔偿 ........................................................................................................ 8...（详见条款9）,定义解释
什么是意外身故赔偿？,12. 年龄及性别 .................................................................................................... 9...（详见条款11）,定义解释
什么是自杀？,14. 不可异议条文 ............................................................................................... 9...（详见条款13）,定义解释
什么是身故赔偿或退保金额？,16. 收款方式选择 ............................................................................................... 9...（详见条款15）,定义解释
什么是终期红利？,18. 终期红利锁定权益 ..................................................................................... 10...（详见条款17）,定义解释
什么是累积已锁定终期红利？,20. 现金价值 ...................................................................................................... 11...（详见条款19）,定义解释
什么是货币转换权益？,22. 保单复效 ...................................................................................................... 13...（详见条款21）,定义解释
什么是保单贷款？,24. 自动贷款代缴保费 ..................................................................................... 13...（详见条款23）,定义解释
什么是贷款规定？,26. 终止保单 ...................................................................................................... 14...（详见条款25）,定义解释
什么是索偿通知及证明？,28. 意外身故赔偿不受保项目 ........................................................................ 15...（详见条款27）,定义解释
什么是第三者权利？,"更改受保人条款
保费假期条款
批注（如适用）
附加保障条款（如适用）
保单投保申请书副本
备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。
第2页
2-MGL-RP-SC (05/2022)

---

## 第 3 页

受保人 xxx 年龄 xxx...（详见条款29）",定义解释
如何办理第三者权利？,更改受保人条款 保费假期条款 批注（如适用） 附加保障条款（如适用） 保单投保申请书副本 备注︰此简体中文本只供参考用途，并非保单之一部分，亦不构成对任何条款之诠译或赋予任何条款之涵义。 第2页 2-MGL-RP-SC (05/2022) --- ## 第 3 页 受保人 xxx 年龄 xxx 保单编号 xxx 性别 xxx 保单生效日 xxx 收费标准 xxx 保单签发日 xxx 身份证号码 x,办理流程
什么是定义？,"以下为阁下保单中具有特定含义的若干用词，供阁下阅读保单时作参考。其他用词可能在阁下保单内文另作定义。
「意外身故」指受保人在本保单生效期间直接因无法预见和意料之外的事件且并无涉及所有其他因素而导致的身体受伤发
生后的一百八十天内身故。
「意外身故赔偿」的涵义在「意外身故赔偿」条款一章中界定。
「累积...（详见条款1）",定义解释
什么是合约？,"本保单、投保申请书、健康证明文件和任何作为受保资格证明的书面说明和答复，均为合约构成部分。
仅本公司的首席行政总监方可代表本公司仅以书面形式更改、修订或删除本保单内任何条款。
除上述人士以外，由任何代理人或人士作出的或向任何代理人或人士作出的任何承诺或声明均对本公司不具约束力。...（详见条款2）",定义解释
如何办理合约？,本保单、投保申请书、健康证明文件和任何作为受保资格证明的书面说明和答复，均为合约构成部分。 仅本公司的首席行政总监方可代表本公司仅以书面形式更改、修订或删除本保单内任何条款。 除上述人士以外，由任何代理人或人士作出的或向任何代理人或人士作出的任何承诺或声明均对本公司不具约束力。,办理流程
什么是管辖法律？,"本保单如果1) 在香港特别行政区签发，则需按香港特别行政区法律加以管辖和阐释;如果2) 在澳门特别行政区签发，则
需按澳门特别行政区法律加以管辖和阐释。...（详见条款3）",定义解释
什么是保单年度及周年日？,"保单的年份、月份和周年日将根据本保单第3页或最新批注（如有）所示的保单生效日（即首个保单年度和首个保单月份
的首日）厘定。首个保单周年日即第二个保单周年的首日。...（详见条款4）",定义解释
什么是货币？,详情见本保单第3页或最新批注（如有）内「货币」一项。...（详见条款5）,定义解释
什么是缴付保费？,"保费支付人须在受保人在世期间根据「保费表」（见本保单第3页或最新批注（如有））内所列资料缴交保费。如有需要，
任何列于「保费表」上，假设受保人将达到某特定年龄的日期将会作出修订，以便保费表上日期与受保人的真实年龄相
符。
缴交第一期／第一次保费后，随后所有保费到期日，定于保单持有人所选择的缴付形式的...（详见条款6）",定义解释
什么是受益人？,"指派受益人
保单持有人指派受益人时，须以本公司指定格式（以本公司提供的申请表或其他表格）向本公司提供受益人的姓名和其他
有助识别身份的资料。保单持有人必须签署受益人指定书并交回本公司。
除本保单或本保单生效的受益人指定书另有规定外，下列条款一律适用：
受益人类别
本保单的身故赔偿受益人将根据保单持有...（详见条款7）",定义解释
如何办理受益人？,指派受益人 保单持有人指派受益人时，须以本公司指定格式（以本公司提供的申请表或其他表格）向本公司提供受益人的姓名和其他 有助识别身份的资料。保单持有人必须签署受益人指定书并交回本公司。 除本保单或本保单生效的受益人指定书另有规定外，下列条款一律适用： 受益人类别 本保单的身故赔偿受益人将根据保单持有人的指派，分为基本受益人、次位受益人或最终受益人。受益人应得的身故赔偿 将取决于以上分类。在受保人身,办理流程
什么是保单所有权？,"受保人在世期间，保单持有人随时有权为其自身利益行使保单所赋予的一切权益和特权而无须得到任何受益人或信托人的
同意。...（详见条款8）",定义解释
什么是保单转让？,"办理任何本保单的转让，须采用本公司所提供的转让表格或本公司行使独有和绝对酌情权下接受的其他表格，并将表格送
交本公司的总办事处存档。本公司不会对任何转让的有效性负上任何责任。...（详见条款9）",定义解释
什么是身故赔偿？,"当受保人身故及本公司收到符合「索偿通知及证明」条款规定的认可身故证明，并且经本公司批核后，本公司将给予身故
赔偿。任何欠款将根据本保单条款从支付金额内扣除。
受限于本保单的条款规定，本公司将给付本保单下的身故赔偿而该赔偿款项将包括以下两者的较高者：
(a) 本计划的表格所示现金价值和终期红利（如有）...（详见条款10）",定义解释
什么是意外身故赔偿？,"当受保人在首五个保单年度内意外身故及本公司收到受保人身故的认可证明，并且经本公司批核后，本公司将根据「受益
人」条款、「意外身故赔偿不受保项目」条款及「索偿通知及证明」条款向受益人支付意外身故赔偿。
意外身故赔偿相当于下列的较低者：
(1) 价值二；或
(2) 125,000美元/ 1,000,00...（详见条款11）",定义解释
什么是年龄及性别？,"如果受保人的年龄或性别被错误填报在投保申请书，而未曾被更改，本公司将按照其正确年龄和性别，根据已缴交的保费
金额，重新厘定赔款和一切本保单应得的利益。有关受保人的年龄，须有认可的证明，本公司方会接纳。
当受保人的正确年龄和性别未能符合本公司的受保资格，本公司保留作废本保单的权利，如同本保单从未签发。...（详见条款12）",定义解释
